"YEAR","JURISDICTION","AGE_GROUP","METRIC","DETECTION_METHOD","FINES","ARRESTS","CHARGES"
2024,"SA","0-16","Non Wearing Seatbelts","Manual enforcement",1,0,0
2024,"SA","0-16","Speed Fines","Auto camera enforcement",1,0,0
2024,"SA","17-25","Mobile Phone Use","Manual enforcement",1,0,0
2024,"SA","17-25","Non Wearing Seatbelts","Manual enforcement",12,0,0
2024,"SA","17-25","Speed Fines","Auto camera enforcement",30,0,0
2024,"SA","17-25","Speed Fines","Auto camera enforcement",48,0,0
2024,"SA","17-25","Speed Fines","Manual enforcement",184,1,1
2024,"SA","26-39","Non Wearing Seatbelts","Manual enforcement",13,0,0
2024,"SA","26-39","Speed Fines","Auto camera enforcement",57,0,0
2024,"SA","26-39","Speed Fines","Auto camera enforcement",161,0,0
2024,"SA","26-39","Speed Fines","Manual enforcement",369,0,1
2024,"SA","40-64","Mobile Phone Use","Manual enforcement",1,0,0
2024,"SA","40-64","Non Wearing Seatbelts","Manual enforcement",15,0,0
2024,"SA","40-64","Speed Fines","Auto camera enforcement",74,0,0
2024,"SA","40-64","Speed Fines","Auto camera enforcement",282,0,0
2024,"SA","40-64","Speed Fines","Manual enforcement",458,1,2
2024,"SA","65 and over","Non Wearing Seatbelts","Manual enforcement",7,0,0
2024,"SA","65 and over","Speed Fines","Auto camera enforcement",15,0,0
2024,"SA","65 and over","Speed Fines","Auto camera enforcement",128,0,0
2024,"SA","65 and over","Speed Fines","Manual enforcement",110,0,1
2024,"SA","65 and over","Unlicensed Driving","Manual enforcement",4,0,0
2024,"SA","Unknown","Speed Fines","Auto camera enforcement",8,0,0
2024,"SA","Unknown","Speed Fines","Auto camera enforcement",8,0,0
2024,"SA","Unknown","Unlicensed Driving","Manual enforcement",68,0,0
2024,"SA","17-25","Non Wearing Seatbelts","Manual enforcement",2,0,0
2024,"SA","17-25","Speed Fines","Auto camera enforcement",7,0,0
2024,"SA","17-25","Speed Fines","Manual enforcement",40,0,1
2024,"SA","26-39","Mobile Phone Use","Manual enforcement",1,0,0
2024,"SA","26-39","Non Wearing Seatbelts","Manual enforcement",4,0,0
2024,"SA","26-39","Speed Fines","Auto camera enforcement",12,0,0
2024,"SA","26-39","Speed Fines","Manual enforcement",70,0,0
2024,"SA","40-64","Non Wearing Seatbelts","Manual enforcement",4,0,0
2024,"SA","40-64","Speed Fines","Auto camera enforcement",31,0,0
2024,"SA","40-64","Speed Fines","Manual enforcement",74,0,1
2024,"SA","65 and over","Non Wearing Seatbelts","Manual enforcement",5,0,0
2024,"SA","65 and over","Speed Fines","Auto camera enforcement",5,0,0
2024,"SA","65 and over","Speed Fines","Manual enforcement",13,0,0
2024,"SA","65 and over","Unlicensed Driving","Manual enforcement",0,0,0
2024,"SA","Unknown","Speed Fines","Auto camera enforcement",3,0,0
2024,"SA","Unknown","Unlicensed Driving","Manual enforcement",16,0,0
2024,"SA","0-16","Unlicensed Driving","Manual enforcement",0,6,8
2024,"SA","17-25","Mobile Phone Use","Manual enforcement",1,0,0
2024,"SA","17-25","Speed Fines","Manual enforcement",16,0,0
2024,"SA","17-25","Unlicensed Driving","Manual enforcement",0,26,50
2024,"SA","26-39","Speed Fines","Manual enforcement",29,0,0
2024,"SA","26-39","Unlicensed Driving","Manual enforcement",0,68,155
2024,"SA","40-64","Non Wearing Seatbelts","Manual enforcement",1,0,0
2024,"SA","40-64","Speed Fines","Manual enforcement",45,1,0
2024,"SA","40-64","Unlicensed Driving","Manual enforcement",0,28,154
2024,"SA","65 and over","Non Wearing Seatbelts","Manual enforcement",1,0,0
2024,"SA","65 and over","Speed Fines","Manual enforcement",10,0,0
2024,"SA","65 and over","Unlicensed Driving","Manual enforcement",0,1,7
2024,"SA","Unknown","Unlicensed Driving","Manual enforcement",11,0,0
2024,"SA","17-25","Non Wearing Seatbelts","Manual enforcement",1,0,0
2024,"SA","17-25","Speed Fines","Manual enforcement",19,0,0
2024,"SA","26-39","Non Wearing Seatbelts","Manual enforcement",7,0,0
2024,"SA","26-39","Speed Fines","Manual enforcement",37,0,0
2024,"SA","40-64","Non Wearing Seatbelts","Manual enforcement",5,0,0
2024,"SA","40-64","Speed Fines","Manual enforcement",50,0,0
2024,"SA","65 and over","Non Wearing Seatbelts","Manual enforcement",1,0,0
2024,"SA","65 and over","Speed Fines","Manual enforcement",8,0,0
2024,"SA","Unknown","Unlicensed Driving","Manual enforcement",11,0,0
2024,"TAS","0-16","Non Wearing Seatbelts","Auto camera enforcement",1,0,0
2024,"TAS","0-16","Unlicensed Driving","Manual enforcement",0,1,4
2024,"TAS","17-25","Mobile Phone Use","Auto camera enforcement",10,0,0
2024,"TAS","17-25","Mobile Phone Use","Manual enforcement",37,0,0
2024,"TAS","17-25","Non Wearing Seatbelts","Auto camera enforcement",50,0,0
2024,"TAS","17-25","Non Wearing Seatbelts","Manual enforcement",18,0,2
2024,"TAS","17-25","Speed Fines","Auto camera enforcement",657,0,0
2024,"TAS","17-25","Speed Fines","Manual enforcement",348,0,12
2024,"TAS","17-25","Unlicensed Driving","Manual enforcement",6,0,28
2024,"TAS","26-39","Mobile Phone Use","Auto camera enforcement",77,0,0
2024,"TAS","26-39","Mobile Phone Use","Manual enforcement",44,0,2
2024,"TAS","26-39","Non Wearing Seatbelts","Auto camera enforcement",146,0,0
2024,"TAS","26-39","Non Wearing Seatbelts","Manual enforcement",30,0,3
2024,"TAS","26-39","Speed Fines","Auto camera enforcement",1655,0,0
2024,"TAS","26-39","Speed Fines","Manual enforcement",543,0,12
2024,"TAS","26-39","Unlicensed Driving","Manual enforcement",16,0,73
2024,"TAS","40-64","Mobile Phone Use","Auto camera enforcement",50,0,0
2024,"TAS","40-64","Mobile Phone Use","Manual enforcement",36,0,1
2024,"TAS","40-64","Non Wearing Seatbelts","Auto camera enforcement",143,0,0
2024,"TAS","40-64","Non Wearing Seatbelts","Manual enforcement",27,0,0
2024,"TAS","40-64","Speed Fines","Auto camera enforcement",2471,0,0
2024,"TAS","40-64","Speed Fines","Manual enforcement",649,0,10
2024,"TAS","40-64","Unlicensed Driving","Manual enforcement",7,0,32
2024,"TAS","65 and over","Mobile Phone Use","Auto camera enforcement",9,0,0
2024,"TAS","65 and over","Mobile Phone Use","Manual enforcement",10,0,0
2024,"TAS","65 and over","Non Wearing Seatbelts","Auto camera enforcement",71,0,0
2024,"TAS","65 and over","Non Wearing Seatbelts","Manual enforcement",16,0,1
2024,"TAS","65 and over","Speed Fines","Auto camera enforcement",933,0,0
2024,"TAS","65 and over","Speed Fines","Manual enforcement",179,0,0
2024,"TAS","65 and over","Unlicensed Driving","Manual enforcement",2,0,2
2024,"TAS","Unknown","Unlicensed Driving","Manual enforcement",0,0,1
2024,"VIC","0-16","Mobile Phone Use","Auto camera enforcement",0,0,0
2024,"VIC","0-16","Mobile Phone Use","Auto camera enforcement",0,0,0
2024,"VIC","0-16","Non Wearing Seatbelts","Auto camera enforcement",0,0,0
2024,"VIC","0-16","Non Wearing Seatbelts","Auto camera enforcement",0,0,0
2024,"VIC","0-16","Speed Fines","Auto camera enforcement",0,0,0
2024,"VIC","0-16","Speed Fines","Auto camera enforcement",0,0,0
2024,"VIC","17-25","Mobile Phone Use","Auto camera enforcement",0,0,0
2024,"VIC","17-25","Mobile Phone Use","Auto camera enforcement",101,0,0
2024,"VIC","17-25","Non Wearing Seatbelts","Auto camera enforcement",0,0,0
2024,"VIC","17-25","Non Wearing Seatbelts","Auto camera enforcement",64,0,0
2024,"VIC","17-25","Speed Fines","Auto camera enforcement",138,0,0
2024,"VIC","17-25","Speed Fines","Auto camera enforcement",574,0,0
2024,"VIC","26-39","Mobile Phone Use","Auto camera enforcement",0,0,0
2024,"VIC","26-39","Mobile Phone Use","Auto camera enforcement",387,0,0
2024,"VIC","26-39","Non Wearing Seatbelts","Auto camera enforcement",0,0,0
2024,"VIC","26-39","Non Wearing Seatbelts","Auto camera enforcement",217,0,0
2024,"VIC","26-39","Speed Fines","Auto camera enforcement",503,0,0
